episode,episode_steps,episode_reward,max_tile
1005,648,6704.0,512.0
1006,621,7088.0,512.0
1007,516,6896.0,512.0
1008,386,5000.0,512.0
1009,264,2204.0,256.0
1010,631,6872.0,512.0
1011,177,2060.0,128.0
1012,415,3092.0,256.0
1013,210,1848.0,128.0
1014,500,7020.0,512.0
1015,480,5440.0,512.0
1016,476,5236.0,512.0
1017,422,3804.0,256.0
1018,347,4388.0,256.0
1019,510,5096.0,512.0
1020,382,4564.0,512.0
1021,500,6848.0,512.0
1022,553,6972.0,512.0
1023,292,3140.0,256.0
1024,102,664.0,64.0
1025,547,6796.0,512.0
1026,280,3016.0,256.0
1027,398,3208.0,256.0
1028,299,3100.0,256.0
1029,254,2124.0,128.0
1030,369,5264.0,512.0
1031,277,3372.0,256.0
1032,514,5288.0,512.0
1033,265,2900.0,256.0
1034,562,7476.0,512.0
1035,598,3556.0,256.0
1036,533,4888.0,512.0
1037,556,5928.0,512.0
1038,374,3268.0,256.0
1039,406,5104.0,512.0
1040,116,1128.0,128.0
1041,373,2980.0,256.0
1042,538,6920.0,512.0
1043,297,2988.0,256.0
1044,523,6852.0,512.0
1045,213,2292.0,256.0
1046,280,3084.0,256.0
1047,177,1984.0,256.0
1048,472,6000.0,512.0
1049,309,3212.0,256.0
1050,483,6876.0,512.0
1051,246,2612.0,256.0
1052,327,3044.0,256.0
1053,139,1260.0,128.0
1054,305,2912.0,256.0
1055,291,2924.0,256.0
1056,247,3044.0,256.0
1057,245,2952.0,256.0
1058,314,4588.0,512.0
1059,438,5544.0,512.0
1060,721,5352.0,512.0
1061,249,3028.0,256.0
1062,481,6372.0,512.0
1063,425,5240.0,512.0
1064,564,6936.0,512.0
1065,743,7324.0,512.0
